#-	x=   1.
#-    n			Jn(x)
       0         0.7651976866E+00
       1         0.4400505857E+00
       2         0.1149034849E+00
       3         0.1956335398E-01
       4         0.2476638964E-02
       5         0.2497577302E-03
       6         0.2093833800E-04
       7         0.1502325817E-05
       8         0.9422344173E-07
       9         0.5249250180E-08
      10         0.2630615124E-09
      11         0.1198006746E-10
      12         0.4999718179E-12
      13         0.1925616764E-13
