#-	x=  10.
#-    n			Jn(x)
       0        -0.2459357645E+00
       1         0.4347274617E-01
       2         0.2546303137E+00
       3         0.5837937931E-01
       4        -0.2196026861E+00
       5        -0.2340615282E+00
       6        -0.1445884208E-01
       7         0.2167109177E+00
       8         0.3178541268E+00
       9         0.2918556853E+00
      10         0.2074861066E+00
      11         0.1231165280E+00
      12         0.6337025497E-01
      13         0.2897208393E-01
      14         0.1195716324E-01
      15         0.4507973144E-02
      16         0.1566756192E-02
      17         0.5056466697E-03
      18         0.1524424853E-03
      19         0.4314627752E-04
      20         0.1151336925E-04
      21         0.2907199467E-05
      22         0.6968685123E-06
      23         0.1590219874E-06
      24         0.3463262966E-07
      25         0.7214634990E-08
      26         0.1440545292E-08
      27         0.2762005267E-09
      28         0.5093755245E-10
      29         0.9049766987E-11
      30         0.1551096078E-11
      31         0.2568094828E-12
      32         0.4112271491E-13
      33         0.6375892657E-14
      34         0.9581766237E-15
